Company No.,Location,Roles,qualifications,Benefits,Full Job Description
#1011,TX,Chief Medical Officer,"License/Certification:

Texas medical license (Required)
Medical License (Required)
Willingness to travel:

25% (Required)","401(k)
401(k) matching
Dental insurance
Employee discount
Health insurance
Life insurance
Paid time off
Parental leave
Professional development assistance
Relocation assistance
Retirement plan
Tuition reimbursement
Vision insurance","Chief Medical Officer: Must have a Texas Medical License to oversee and supervise all medical staff in all locations. Responsible for Residents in training and FNPs. Attend all Administrative staff meeting and CQI meetings. To make medical decisions, in regards to the medical staff and to the organization. CMO must also attend board meeting in order to update the board of directors information regarding the clinics."
#1012,AL,Physician,,,This is the specific job description for Company No. #1012 Location: AL Position: Physician
#1013,AL,Surgeon,,,This is the specific job description for Company No. #1013 Location: AL Position: Surgeon
#1014,AL,Nurse,,,This is the specific job description for Company No. #1014 Location: AL Position: Nurse
#1015,AL,Pharmacist,,,This is the specific job description for Company No. #1015 Location: AL Position: Pharmacist
#1016,AL,Dentist,,,This is the specific job description for Company No. #1016 Location: AL Position: Dentist
#1017,AL,Paramedic,,,This is the specific job description for Company No. #1017 Location: AL Position: Paramedic
#1018,AL,Medical Assistant,,,This is the specific job description for Company No. #1018 Location: AL Position: Medical Assistant
#1019,AL,Radiologist,,,This is the specific job description for Company No. #1019 Location: AL Position: Radiologist
#1020,AL,Physical Therapist,,,This is the specific job description for Company No. #1020 Location: AL Position: Physical Therapist
#1021,AL,Occupational Therapist,,,This is the specific job description for Company No. #1021 Location: AL Position: Occupational Therapist
#1022,AL,Respiratory Therapist,,,This is the specific job description for Company No. #1022 Location: AL Position: Respiratory Therapist
#1023,AL,Clinical Psychologist,,,This is the specific job description for Company No. #1023 Location: AL Position: Clinical Psychologist
#1024,AL,Medical Laboratory Technician,,,This is the specific job description for Company No. #1024 Location: AL Position: Medical Laboratory Technician
#1025,AL,Registered Dietitian,,,This is the specific job description for Company No. #1025 Location: AL Position: Registered Dietitian
#1026,AL,EMT (Emergency Medical Technician),,,This is the specific job description for Company No. #1026 Location: AL Position: EMT (Emergency Medical Technician)
#1027,AL,Optometrist,,,This is the specific job description for Company No. #1027 Location: AL Position: Optometrist
#1028,AL,Speech-Language Pathologist,,,This is the specific job description for Company No. #1028 Location: AL Position: Speech-Language Pathologist
#1029,AL,Podiatrist,,,This is the specific job description for Company No. #1029 Location: AL Position: Podiatrist
#1030,AL,Medical Technologist,,,This is the specific job description for Company No. #1030 Location: AL Position: Medical Technologist
#1031,AL,Nurse Practitioner,,,This is the specific job description for Company No. #1031 Location: AL Position: Nurse Practitioner
#1032,AL,Physician Assistant,,,This is the specific job description for Company No. #1032 Location: AL Position: Physician Assistant
#1033,AL,Anesthesiologist,,,This is the specific job description for Company No. #1033 Location: AL Position: Anesthesiologist
#1034,AL,Cardiologist,,,This is the specific job description for Company No. #1034 Location: AL Position: Cardiologist
#1035,AL,Orthopedic Surgeon,,,This is the specific job description for Company No. #1035 Location: AL Position: Orthopedic Surgeon
#1036,AL,Gynecologist,,,This is the specific job description for Company No. #1036 Location: AL Position: Gynecologist
#1037,AL,Urologist,,,This is the specific job description for Company No. #1037 Location: AL Position: Urologist
#1038,AL,Dermatologist,,,This is the specific job description for Company No. #1038 Location: AL Position: Dermatologist
#1039,AL,Pediatrician,,,This is the specific job description for Company No. #1039 Location: AL Position: Pediatrician
#1040,AL,Ophthalmologist,,,This is the specific job description for Company No. #1040 Location: AL Position: Ophthalmologist
#1041,AL,Psychiatrist,,,This is the specific job description for Company No. #1041 Location: AL Position: Psychiatrist
#1042,AL,Radiologic Technologist,,,This is the specific job description for Company No. #1042 Location: AL Position: Radiologic Technologist
#1043,AL,Surgical Technologist,,,This is the specific job description for Company No. #1043 Location: AL Position: Surgical Technologist
#1044,AL,Pharmacy Technician,,,This is the specific job description for Company No. #1044 Location: AL Position: Pharmacy Technician
#1045,AL,Chiropractor,,,This is the specific job description for Company No. #1045 Location: AL Position: Chiropractor
#1046,AL,Clinical Nurse Specialist,,,This is the specific job description for Company No. #1046 Location: AL Position: Clinical Nurse Specialist
#1047,AL,Pathologist,,,This is the specific job description for Company No. #1047 Location: AL Position: Pathologist
#1048,AL,Medical Billing and Coding Specialist,,,This is the specific job description for Company No. #1048 Location: AL Position: Medical Billing and Coding Specialist
#1049,AL,Genetic Counselor,,,This is the specific job description for Company No. #1049 Location: AL Position: Genetic Counselor
#1050,AL,Home Health Aide,,,This is the specific job description for Company No. #1050 Location: AL Position: Home Health Aide
#1051,AL,Patient Care Technician,,,This is the specific job description for Company No. #1051 Location: AL Position: Patient Care Technician
#1052,AK,Physician,,,This is the specific job description for Company No. #1052 Location: AK Position: Physician
#1053,AK,Surgeon,,,This is the specific job description for Company No. #1053 Location: AK Position: Surgeon
#1054,AK,Nurse,,,This is the specific job description for Company No. #1054 Location: AK Position: Nurse
#1055,AK,Pharmacist,,,This is the specific job description for Company No. #1055 Location: AK Position: Pharmacist
#1056,AK,Dentist,,,This is the specific job description for Company No. #1056 Location: AK Position: Dentist
#1057,AK,Paramedic,,,This is the specific job description for Company No. #1057 Location: AK Position: Paramedic
#1058,AK,Medical Assistant,,,This is the specific job description for Company No. #1058 Location: AK Position: Medical Assistant
#1059,AK,Radiologist,,,This is the specific job description for Company No. #1059 Location: AK Position: Radiologist
#1060,AK,Physical Therapist,,,This is the specific job description for Company No. #1060 Location: AK Position: Physical Therapist
#1061,AK,Occupational Therapist,,,This is the specific job description for Company No. #1061 Location: AK Position: Occupational Therapist
#1062,AK,Respiratory Therapist,,,This is the specific job description for Company No. #1062 Location: AK Position: Respiratory Therapist
#1063,AK,Clinical Psychologist,,,This is the specific job description for Company No. #1063 Location: AK Position: Clinical Psychologist
#1064,AK,Medical Laboratory Technician,,,This is the specific job description for Company No. #1064 Location: AK Position: Medical Laboratory Technician
#1065,AK,Registered Dietitian,,,This is the specific job description for Company No. #1065 Location: AK Position: Registered Dietitian
#1066,AK,EMT (Emergency Medical Technician),,,This is the specific job description for Company No. #1066 Location: AK Position: EMT (Emergency Medical Technician)
#1067,AK,Optometrist,,,This is the specific job description for Company No. #1067 Location: AK Position: Optometrist
#1068,AK,Speech-Language Pathologist,,,This is the specific job description for Company No. #1068 Location: AK Position: Speech-Language Pathologist
#1069,AK,Podiatrist,,,This is the specific job description for Company No. #1069 Location: AK Position: Podiatrist
#1070,AK,Medical Technologist,,,This is the specific job description for Company No. #1070 Location: AK Position: Medical Technologist
#1071,AK,Nurse Practitioner,,,This is the specific job description for Company No. #1071 Location: AK Position: Nurse Practitioner
#1072,AK,Physician Assistant,,,This is the specific job description for Company No. #1072 Location: AK Position: Physician Assistant
#1073,AK,Anesthesiologist,,,This is the specific job description for Company No. #1073 Location: AK Position: Anesthesiologist
#1074,AK,Cardiologist,,,This is the specific job description for Company No. #1074 Location: AK Position: Cardiologist
#1075,AK,Orthopedic Surgeon,,,This is the specific job description for Company No. #1075 Location: AK Position: Orthopedic Surgeon
#1076,AK,Gynecologist,,,This is the specific job description for Company No. #1076 Location: AK Position: Gynecologist
#1077,AK,Urologist,,,This is the specific job description for Company No. #1077 Location: AK Position: Urologist
#1078,AK,Dermatologist,,,This is the specific job description for Company No. #1078 Location: AK Position: Dermatologist
#1079,AK,Pediatrician,,,This is the specific job description for Company No. #1079 Location: AK Position: Pediatrician
#1080,AK,Ophthalmologist,,,This is the specific job description for Company No. #1080 Location: AK Position: Ophthalmologist
#1081,AK,Psychiatrist,,,This is the specific job description for Company No. #1081 Location: AK Position: Psychiatrist
#1082,AK,Radiologic Technologist,,,This is the specific job description for Company No. #1082 Location: AK Position: Radiologic Technologist
#1083,AK,Surgical Technologist,,,This is the specific job description for Company No. #1083 Location: AK Position: Surgical Technologist
#1084,AK,Pharmacy Technician,,,This is the specific job description for Company No. #1084 Location: AK Position: Pharmacy Technician
#1085,AK,Chiropractor,,,This is the specific job description for Company No. #1085 Location: AK Position: Chiropractor
#1086,AK,Clinical Nurse Specialist,,,This is the specific job description for Company No. #1086 Location: AK Position: Clinical Nurse Specialist
#1087,AK,Pathologist,,,This is the specific job description for Company No. #1087 Location: AK Position: Pathologist
#1088,AK,Medical Billing and Coding Specialist,,,This is the specific job description for Company No. #1088 Location: AK Position: Medical Billing and Coding Specialist
#1089,AK,Genetic Counselor,,,This is the specific job description for Company No. #1089 Location: AK Position: Genetic Counselor
#1090,AK,Home Health Aide,,,This is the specific job description for Company No. #1090 Location: AK Position: Home Health Aide
#1091,AK,Patient Care Technician,,,This is the specific job description for Company No. #1091 Location: AK Position: Patient Care Technician
#1092,AZ,Physician,,,This is the specific job description for Company No. #1092 Location: AZ Position: Physician
#1093,AZ,Surgeon,,,This is the specific job description for Company No. #1093 Location: AZ Position: Surgeon
#1094,AZ,Nurse,,,This is the specific job description for Company No. #1094 Location: AZ Position: Nurse
#1095,AZ,Pharmacist,,,This is the specific job description for Company No. #1095 Location: AZ Position: Pharmacist
#1096,AZ,Dentist,,,This is the specific job description for Company No. #1096 Location: AZ Position: Dentist
#1097,AZ,Paramedic,,,This is the specific job description for Company No. #1097 Location: AZ Position: Paramedic
#1098,AZ,Medical Assistant,,,This is the specific job description for Company No. #1098 Location: AZ Position: Medical Assistant
#1099,AZ,Radiologist,,,This is the specific job description for Company No. #1099 Location: AZ Position: Radiologist
#1100,AZ,Physical Therapist,,,This is the specific job description for Company No. #1100 Location: AZ Position: Physical Therapist
#1101,AZ,Occupational Therapist,,,This is the specific job description for Company No. #1101 Location: AZ Position: Occupational Therapist
#1102,AZ,Respiratory Therapist,,,This is the specific job description for Company No. #1102 Location: AZ Position: Respiratory Therapist
#1103,AZ,Clinical Psychologist,,,This is the specific job description for Company No. #1103 Location: AZ Position: Clinical Psychologist
#1104,AZ,Medical Laboratory Technician,,,This is the specific job description for Company No. #1104 Location: AZ Position: Medical Laboratory Technician
#1105,AZ,Registered Dietitian,,,This is the specific job description for Company No. #1105 Location: AZ Position: Registered Dietitian
#1106,AZ,EMT (Emergency Medical Technician),,,This is the specific job description for Company No. #1106 Location: AZ Position: EMT (Emergency Medical Technician)
#1107,AZ,Optometrist,,,This is the specific job description for Company No. #1107 Location: AZ Position: Optometrist
#1108,AZ,Speech-Language Pathologist,,,This is the specific job description for Company No. #1108 Location: AZ Position: Speech-Language Pathologist
#1109,AZ,Podiatrist,,,This is the specific job description for Company No. #1109 Location: AZ Position: Podiatrist
#1110,AZ,Medical Technologist,,,This is the specific job description for Company No. #1110 Location: AZ Position: Medical Technologist
#1111,AZ,Nurse Practitioner,,,This is the specific job description for Company No. #1111 Location: AZ Position: Nurse Practitioner
#1112,AZ,Physician Assistant,,,This is the specific job description for Company No. #1112 Location: AZ Position: Physician Assistant
#1113,AZ,Anesthesiologist,,,This is the specific job description for Company No. #1113 Location: AZ Position: Anesthesiologist
#1114,AZ,Cardiologist,,,This is the specific job description for Company No. #1114 Location: AZ Position: Cardiologist
#1115,AZ,Orthopedic Surgeon,,,This is the specific job description for Company No. #1115 Location: AZ Position: Orthopedic Surgeon
#1116,AZ,Gynecologist,,,This is the specific job description for Company No. #1116 Location: AZ Position: Gynecologist
#1117,AZ,Urologist,,,This is the specific job description for Company No. #1117 Location: AZ Position: Urologist
#1118,AZ,Dermatologist,,,This is the specific job description for Company No. #1118 Location: AZ Position: Dermatologist
#1119,AZ,Pediatrician,,,This is the specific job description for Company No. #1119 Location: AZ Position: Pediatrician
#1120,AZ,Ophthalmologist,,,This is the specific job description for Company No. #1120 Location: AZ Position: Ophthalmologist
#1121,AZ,Psychiatrist,,,This is the specific job description for Company No. #1121 Location: AZ Position: Psychiatrist
#1122,AZ,Radiologic Technologist,,,This is the specific job description for Company No. #1122 Location: AZ Position: Radiologic Technologist
#1123,AZ,Surgical Technologist,,,This is the specific job description for Company No. #1123 Location: AZ Position: Surgical Technologist
#1124,AZ,Pharmacy Technician,,,This is the specific job description for Company No. #1124 Location: AZ Position: Pharmacy Technician
#1125,AZ,Chiropractor,,,This is the specific job description for Company No. #1125 Location: AZ Position: Chiropractor
#1126,AZ,Clinical Nurse Specialist,,,This is the specific job description for Company No. #1126 Location: AZ Position: Clinical Nurse Specialist
#1127,AZ,Pathologist,,,This is the specific job description for Company No. #1127 Location: AZ Position: Pathologist
#1128,AZ,Medical Billing and Coding Specialist,,,This is the specific job description for Company No. #1128 Location: AZ Position: Medical Billing and Coding Specialist
#1129,AZ,Genetic Counselor,,,This is the specific job description for Company No. #1129 Location: AZ Position: Genetic Counselor
#1130,AZ,Home Health Aide,,,This is the specific job description for Company No. #1130 Location: AZ Position: Home Health Aide
#1131,AZ,Patient Care Technician,,,This is the specific job description for Company No. #1131 Location: AZ Position: Patient Care Technician
#1132,AR,Physician,,,This is the specific job description for Company No. #1132 Location: AR Position: Physician
#1133,AR,Surgeon,,,This is the specific job description for Company No. #1133 Location: AR Position: Surgeon
#1134,AR,Nurse,,,This is the specific job description for Company No. #1134 Location: AR Position: Nurse
#1135,AR,Pharmacist,,,This is the specific job description for Company No. #1135 Location: AR Position: Pharmacist
#1136,AR,Dentist,,,This is the specific job description for Company No. #1136 Location: AR Position: Dentist
#1137,AR,Paramedic,,,This is the specific job description for Company No. #1137 Location: AR Position: Paramedic
#1138,AR,Medical Assistant,,,This is the specific job description for Company No. #1138 Location: AR Position: Medical Assistant
#1139,AR,Radiologist,,,This is the specific job description for Company No. #1139 Location: AR Position: Radiologist
#1140,AR,Physical Therapist,,,This is the specific job description for Company No. #1140 Location: AR Position: Physical Therapist
#1141,AR,Occupational Therapist,,,This is the specific job description for Company No. #1141 Location: AR Position: Occupational Therapist
#1142,AR,Respiratory Therapist,,,This is the specific job description for Company No. #1142 Location: AR Position: Respiratory Therapist
#1143,AR,Clinical Psychologist,,,This is the specific job description for Company No. #1143 Location: AR Position: Clinical Psychologist
#1144,AR,Medical Laboratory Technician,,,This is the specific job description for Company No. #1144 Location: AR Position: Medical Laboratory Technician
#1145,AR,Registered Dietitian,,,This is the specific job description for Company No. #1145 Location: AR Position: Registered Dietitian
#1146,AR,EMT (Emergency Medical Technician),,,This is the specific job description for Company No. #1146 Location: AR Position: EMT (Emergency Medical Technician)
#1147,AR,Optometrist,,,This is the specific job description for Company No. #1147 Location: AR Position: Optometrist
#1148,AR,Speech-Language Pathologist,,,This is the specific job description for Company No. #1148 Location: AR Position: Speech-Language Pathologist
#1149,AR,Podiatrist,,,This is the specific job description for Company No. #1149 Location: AR Position: Podiatrist
#1150,AR,Medical Technologist,,,This is the specific job description for Company No. #1150 Location: AR Position: Medical Technologist
#1151,AR,Nurse Practitioner,,,This is the specific job description for Company No. #1151 Location: AR Position: Nurse Practitioner
#1152,AR,Physician Assistant,,,This is the specific job description for Company No. #1152 Location: AR Position: Physician Assistant
#1153,AR,Anesthesiologist,,,This is the specific job description for Company No. #1153 Location: AR Position: Anesthesiologist
#1154,AR,Cardiologist,,,This is the specific job description for Company No. #1154 Location: AR Position: Cardiologist
#1155,AR,Orthopedic Surgeon,,,This is the specific job description for Company No. #1155 Location: AR Position: Orthopedic Surgeon
#1156,AR,Gynecologist,,,This is the specific job description for Company No. #1156 Location: AR Position: Gynecologist
#1157,AR,Urologist,,,This is the specific job description for Company No. #1157 Location: AR Position: Urologist
#1158,AR,Dermatologist,,,This is the specific job description for Company No. #1158 Location: AR Position: Dermatologist
#1159,AR,Pediatrician,,,This is the specific job description for Company No. #1159 Location: AR Position: Pediatrician
#1160,AR,Ophthalmologist,,,This is the specific job description for Company No. #1160 Location: AR Position: Ophthalmologist
#1161,AR,Psychiatrist,,,This is the specific job description for Company No. #1161 Location: AR Position: Psychiatrist
#1162,AR,Radiologic Technologist,,,This is the specific job description for Company No. #1162 Location: AR Position: Radiologic Technologist
#1163,AR,Surgical Technologist,,,This is the specific job description for Company No. #1163 Location: AR Position: Surgical Technologist
#1164,AR,Pharmacy Technician,,,This is the specific job description for Company No. #1164 Location: AR Position: Pharmacy Technician
#1165,AR,Chiropractor,,,This is the specific job description for Company No. #1165 Location: AR Position: Chiropractor
#1166,AR,Clinical Nurse Specialist,,,This is the specific job description for Company No. #1166 Location: AR Position: Clinical Nurse Specialist
#1167,AR,Pathologist,,,This is the specific job description for Company No. #1167 Location: AR Position: Pathologist
#1168,AR,Medical Billing and Coding Specialist,,,This is the specific job description for Company No. #1168 Location: AR Position: Medical Billing and Coding Specialist
#1169,AR,Genetic Counselor,,,This is the specific job description for Company No. #1169 Location: AR Position: Genetic Counselor
#1170,AR,Home Health Aide,,,This is the specific job description for Company No. #1170 Location: AR Position: Home Health Aide
#1171,AR,Patient Care Technician,,,This is the specific job description for Company No. #1171 Location: AR Position: Patient Care Technician
#1172,CA,Physician,,,This is the specific job description for Company No. #1172 Location: CA Position: Physician
#1173,CA,Surgeon,,,This is the specific job description for Company No. #1173 Location: CA Position: Surgeon
#1174,CA,Nurse,,,This is the specific job description for Company No. #1174 Location: CA Position: Nurse
#1175,CA,Pharmacist,,,This is the specific job description for Company No. #1175 Location: CA Position: Pharmacist
#1176,CA,Dentist,,,This is the specific job description for Company No. #1176 Location: CA Position: Dentist
#1177,CA,Paramedic,,,This is the specific job description for Company No. #1177 Location: CA Position: Paramedic
#1178,CA,Medical Assistant,,,This is the specific job description for Company No. #1178 Location: CA Position: Medical Assistant
#1179,CA,Radiologist,,,This is the specific job description for Company No. #1179 Location: CA Position: Radiologist
#1180,CA,Physical Therapist,,,This is the specific job description for Company No. #1180 Location: CA Position: Physical Therapist
#1181,CA,Occupational Therapist,,,This is the specific job description for Company No. #1181 Location: CA Position: Occupational Therapist
#1182,CA,Respiratory Therapist,,,This is the specific job description for Company No. #1182 Location: CA Position: Respiratory Therapist
#1183,CA,Clinical Psychologist,,,This is the specific job description for Company No. #1183 Location: CA Position: Clinical Psychologist
#1184,CA,Medical Laboratory Technician,,,This is the specific job description for Company No. #1184 Location: CA Position: Medical Laboratory Technician
#1185,CA,Registered Dietitian,,,This is the specific job description for Company No. #1185 Location: CA Position: Registered Dietitian
#1186,CA,EMT (Emergency Medical Technician),,,This is the specific job description for Company No. #1186 Location: CA Position: EMT (Emergency Medical Technician)
#1187,CA,Optometrist,,,This is the specific job description for Company No. #1187 Location: CA Position: Optometrist
#1188,CA,Speech-Language Pathologist,,,This is the specific job description for Company No. #1188 Location: CA Position: Speech-Language Pathologist
#1189,CA,Podiatrist,,,This is the specific job description for Company No. #1189 Location: CA Position: Podiatrist
#1190,CA,Medical Technologist,,,This is the specific job description for Company No. #1190 Location: CA Position: Medical Technologist
#1191,CA,Nurse Practitioner,,,This is the specific job description for Company No. #1191 Location: CA Position: Nurse Practitioner
#1192,CA,Physician Assistant,,,This is the specific job description for Company No. #1192 Location: CA Position: Physician Assistant
#1193,CA,Anesthesiologist,,,This is the specific job description for Company No. #1193 Location: CA Position: Anesthesiologist
#1194,CA,Cardiologist,,,This is the specific job description for Company No. #1194 Location: CA Position: Cardiologist
#1195,CA,Orthopedic Surgeon,,,This is the specific job description for Company No. #1195 Location: CA Position: Orthopedic Surgeon
#1196,CA,Gynecologist,,,This is the specific job description for Company No. #1196 Location: CA Position: Gynecologist
#1197,CA,Urologist,,,This is the specific job description for Company No. #1197 Location: CA Position: Urologist
#1198,CA,Dermatologist,,,This is the specific job description for Company No. #1198 Location: CA Position: Dermatologist
#1199,CA,Pediatrician,,,This is the specific job description for Company No. #1199 Location: CA Position: Pediatrician
#1200,CA,Ophthalmologist,,,This is the specific job description for Company No. #1200 Location: CA Position: Ophthalmologist
#1201,CA,Psychiatrist,,,This is the specific job description for Company No. #1201 Location: CA Position: Psychiatrist
#1202,CA,Radiologic Technologist,,,This is the specific job description for Company No. #1202 Location: CA Position: Radiologic Technologist
#1203,CA,Surgical Technologist,,,This is the specific job description for Company No. #1203 Location: CA Position: Surgical Technologist
#1204,CA,Pharmacy Technician,,,This is the specific job description for Company No. #1204 Location: CA Position: Pharmacy Technician
#1205,CA,Chiropractor,,,This is the specific job description for Company No. #1205 Location: CA Position: Chiropractor
#1206,CA,Clinical Nurse Specialist,,,This is the specific job description for Company No. #1206 Location: CA Position: Clinical Nurse Specialist
#1207,CA,Pathologist,,,This is the specific job description for Company No. #1207 Location: CA Position: Pathologist
#1208,CA,Medical Billing and Coding Specialist,,,This is the specific job description for Company No. #1208 Location: CA Position: Medical Billing and Coding Specialist
#1209,CA,Genetic Counselor,,,This is the specific job description for Company No. #1209 Location: CA Position: Genetic Counselor
#1210,CA,Home Health Aide,,,This is the specific job description for Company No. #1210 Location: CA Position: Home Health Aide
#1211,CA,Patient Care Technician,,,This is the specific job description for Company No. #1211 Location: CA Position: Patient Care Technician
#1212,CO,Physician,,,This is the specific job description for Company No. #1212 Location: CO Position: Physician
#1213,CO,Surgeon,,,This is the specific job description for Company No. #1213 Location: CO Position: Surgeon
#1214,CO,Nurse,,,This is the specific job description for Company No. #1214 Location: CO Position: Nurse
#1215,CO,Pharmacist,,,This is the specific job description for Company No. #1215 Location: CO Position: Pharmacist
#1216,CO,Dentist,,,This is the specific job description for Company No. #1216 Location: CO Position: Dentist
#1217,CO,Paramedic,,,This is the specific job description for Company No. #1217 Location: CO Position: Paramedic
#1218,CO,Medical Assistant,,,This is the specific job description for Company No. #1218 Location: CO Position: Medical Assistant
#1219,CO,Radiologist,,,This is the specific job description for Company No. #1219 Location: CO Position: Radiologist
#1220,CO,Physical Therapist,,,This is the specific job description for Company No. #1220 Location: CO Position: Physical Therapist
#1221,CO,Occupational Therapist,,,This is the specific job description for Company No. #1221 Location: CO Position: Occupational Therapist
