No.,CompanyName,Location,Roles,Citizenship/Visa Requirements,Date Added mm/dd/yyyy
39,[Disco](https://csdisco.com/careers#job-listings),"New York, NY  Austin, TX", [SWE](https://www.csdisco.com/careers-listing?gh_jid=6885054002),Applicants must be authorized to work for ANY employer in the U.S.  They are unable to sponsor or take over sponsorship of an employment Visa at this time,8/30/2023
40,[OverDrive](https://company.overdrive.com/careers/),"Cleveland, OH", [Developer - Entry Level (Jan. 2024 or June 2024 start date)](https://company.overdrive.com/careers/?p=job/oP7HnfwK&nl=1#positions),-,8/30/2023
41,[Adobe](https://www.adobe.com/careers/university/graduates.html),"Seattle, WA", [2024 University Graduate - Software Development Engineer 1](https://careers.adobe.com/us/en/job/R139173/2024-University-Graduate-Software-Development-Engineer-1)   [2024 University Graduate - Software Development Engineer 2](https://careers.adobe.com/us/en/job/R139175/2024-University-Graduate-Software-Development-Engineer-2) ,-,8/30/2023
42,[Voleon](https://voleon.com/index.html%3Fp=124.html),"Berkeley, CA", [Software Engineer - University Hire 2024](https://jobs.lever.co/voleon/f3e13a88-25f0-4f25-ac46-3db3538fdbfa),Requires authorization to work in the United States,8/30/2023
43,[WebFX](https://www.webfx.com/careers/),"Harrisburg, PA", [Entry Level Software Engineer](https://jobs.lever.co/webfx/7c15f9e7-6ca5-4188-887e-3b147485c58f),-,8/30/2023
44,[Ascend Analytics](https://www.ascendanalytics.com/about-us/careers),"Boulder, CO", [Junior Software Engineer](https://www.ascendanalytics.com/about-us/careers?gh_jid=4303664005)   [Junior Software Engineer - July 2024](https://www.ascendanalytics.com/about-us/careers?gh_jid=4303704005),-,8/29/2023
45,[Ciena](https://ciena.wd5.myworkdayjobs.com/en-US/Careers)," Atlanta, GA   Baltimore, MD", [Waveserver Software Developer - New Grad](https://ciena.wd5.myworkdayjobs.com/en-US/Careers/job/Waveserver-Software-Developer---New-Grad_R023156)   [New Grad - Solutions Engineering](https://ciena.wd5.myworkdayjobs.com/en-US/Careers/job/Solutions-Engineering---Introduction---NextGen-Metro-Edge_R021739),-,8/29/2023
46,[Verkada](https://jobs.lever.co/verkada),"San Mateo, CA", [Backend Software Engineer - University Graduate 2024](https://jobs.lever.co/verkada/6270b7f2-aff1-4799-9036-be86aeb744f9)   [Embedded Software Engineer - University Graduate 2024](https://jobs.lever.co/verkada/b903bfce-fe9b-42a0-b9ea-b590a21c32b6)   [Frontend Software Engineer - University Graduate 2024](https://jobs.lever.co/verkada/4b78ef02-e936-4201-b04d-21063820a858)   [IOS Engineer - University Graduate 2024](https://jobs.lever.co/verkada/10843ffa-b107-4894-a391-4dfffbd832c4)   [Android Engineer - University Graduate 2024](https://jobs.lever.co/verkada/fdcdeb21-18b0-4aeb-8501-8892f04c0508)   [Security Software Engineer - University Graduate 2024](https://jobs.lever.co/verkada/3018dfbe-b567-4a42-a46a-3f6a06b01716) ,-,8/29/2023
47,[F5](https://www.f5.com/company/careers/university-program)," Seattle, WA   Boulder (Louisville), CO   Billerica, MA   San Jose, CA", [2024 University Graduates - Software Engineer](https://ffive.wd5.myworkdayjobs.com/en-US/f5jobs/details/XMLNAME-2024-University-Graduates---Software-Engineer_RP1028580?q=software%20engineer),-,8/29/2023
48,[Kikoff](https://jobs.lever.co/kikoff),"San Francisco, CA", [Software Engineer - Recent College Graduate](https://jobs.lever.co/kikoff/24c8623a-079a-4d0b-89fd-7f8ac0306cd2),Visa sponsorship available: Kikoff is willing to provide sponsorship for H1-B visas and U.S. green cards for exceptional talent.,8/29/2023
49,[Bloom Energy](https://bloomenergy.wd1.myworkdayjobs.com/en-US/BloomEnergyCareers),"San Jose, CA", **[Closed]**  [IT Software Engineer - New College Grad](https://bloomenergy.wd1.myworkdayjobs.com/en-US/BloomEnergyCareers/job/IT-Software-Engineer---New-College-Grad_JR-17774)   [Technical Support - New College Grad](https://bloomenergy.wd1.myworkdayjobs.com/en-US/BloomEnergyCareers/job/Technical-Support---New-College-Grad_JR-17768),-,8/29/2023
50,[Fidelity](https://jobs.fidelity.com/students/?keyword=%22internship%20opportunities%22%20OR%20%22intern%20program%22)," Durham, NC   Merrimack, NH   Smithfield, RI   Westlake, TX   Salt Lake City, UT", [2023 – 2024 Undergraduates – Leap: Full Stack Engineer](https://jobs.fidelity.com/job-details/18989155/2023-2024-undergraduates-leap-full-stack-engineer/),The LEAP program does NOT offer visa sponsorship.,8/28/2023
51,[Hudson River Trading](https://www.hudsonrivertrading.com/student-opportunities/),"New York, NY", [Software Engineer (C++) – 2024 Grads](https://www.hudsonrivertrading.com/careers/job/?_4118765=Full-Time%3A+New+Grad&q=software&gh_jid=5271700&req_id=437)   [Algorithm Developer – 2024 Grads](https://www.hudsonrivertrading.com/careers/job/?_4118765=Full-Time%3A+New+Grad&q=algorithm&gh_jid=5271551&req_id=433) ,-,8/28/2023
52,[Meta](https://www.metacareers.com/),"Menlo Park, CA"," [Software Engineer, Embodied AI (University Grad)](https://www.metacareers.com/v2/jobs/964058664857248/)",Work Auth Required,8/28/2023
53,[Aquatic Capital Management](https://boards.greenhouse.io/aquaticcapitalmanagement),"Chicago, IL", [Software Engineer: Early Career](https://boards.greenhouse.io/aquaticcapitalmanagement/jobs/6825791002)   [Quantitative Researcher: Early Career](https://boards.greenhouse.io/aquaticcapitalmanagement/jobs/6825774002),-,8/28/2023
54,[Netflix](https://jobs.netflix.com/new-grad-program),"Los Gatos, California", [New Grad Software Engineer (2024)](https://jobs.netflix.com/jobs/291980521),-,8/28/2023
55,[Morgan Stanley](https://www.morganstanley.com/),"New York, NY", [2024 Technology Full-Time Analyst Program](https://morganstanley.tal.net/vx/candidate/apply/15071),-,8/28/2023
56,[Guidehouse](https://guidehouse.com/),"McLean, VA <br/> Arlington, VA <br/> Atlanta, GA", [Consultant - Technology Advisory](https://guidehouse.wd1.myworkdayjobs.com/en-US/External/details/Consultant---Technology-Advisory---Campus-2024_12416?q=technology%20advisory&timeType=6e54b587e349016c4e0dc937c4035700),No sponsorship is available for this position,8/28/2023
57,[Anyscale](https://www.anyscale.com/careers),"San Francisco, CA", [Software Engineer (New Grad 2024)](https://jobs.lever.co/anyscale/2888fb5f-3489-46c0-b776-2a02004ce21b),-,8/24/2023
58,[Qualtrics](https://www.qualtrics.com/careers/us/en/search-results?m=3&keywords=New%20Grad)," Seattle, WA <br/>  Reston, VA <br/>  Provo, UT", [Software Engineer - New Grad](https://www.qualtrics.com/careers/us/en/search-results?m=3&keywords=New%20Grad),Sponsorship not available,8/24/2023
59,[LexisNexis](https://www.lexisnexis.com/en-us/about-us/careers.page)," Raleigh, NC   Miamisburg, OH   Alpharetta, GA, Boca Raton, FL, Dayton, OH, Minneapolis, MN"," [Aspire Program, Early Career - Software Engineer I](https://www.lexisnexis.com/systems/careers/job-detail.html?f=Software%20Engineering&r=10&s=0&g=&t=&l=USA%20-%20All&j=R63876#)   [Aspire Program, Early Career -Data Scientist I](https://relx.wd3.myworkdayjobs.com/en-US/LexisNexisLegal/job/Aspire-Tech-Program---Data-Scientist-I_R63877)   [Software Engineer I](https://relx.wd3.myworkdayjobs.com/en-US/RiskSolutions/job/Alpharetta-GA/Software-Engineer-I_R64836)",-,8/23/2023
60,[General Motors](https://search-careers.gm.com/en/early-careers/)," Austin, TX <br/>  Detroit, MI <br/>  Warren, MI <br/>  Chandler, AZ <br/>  Roswell, GA", [Entry-Level Information and Digital Technology](https://search-careers.gm.com/en/jobs/jr-202316188/entry-level-information-and-digital-technology-coding-skills-required/),Work Auth Required,8/23/2023
61,[McMaster-Carr](https://app.ripplematch.com/v2/public/job/0bd0b81f/details?utm_source=RM&utm_medium=organic_social&utm_campaign=growth_github&utm_content=role&utm_term=null),"Chicago, IL", **[Closed]**   [Software Development & Design](https://app.ripplematch.com/v2/public/job/0bd0b81f/details?utm_source=RM&utm_medium=organic_social&utm_campaign=growth_github&utm_content=role&utm_term=null),-,8/23/2023
62,[Scale AI](https://scale.com/careers),"San Francisco, CA", [Software Developer - New Grad](https://scale.com/careers/4305866005)   [Machine Learning Research Engineer - New Grad](https://scale.com/careers/4305880005),-,8/23/2023
63,[CGI](https://www.cgi.com/en/careers),"Fairfax, VA", [Software Developer - Entry Level](https://cgi.njoyn.com/CORP/xweb/XWeb.asp?NTKN=c&clid=21001&Page=JobDetails&Jobid=J0823-1140&BRID=1074871&lang=1),U.S. Citizenship required,8/22/2023
64,[Eaton](https://www.wayup.com/i-Manufacturing-j-Eaton-Development-Program-Engineering-Technology-Software-Eaton-557754123495770/?utm_source=linkedin-xml&utm_medium=jobxml&utm_campaign=linkedin-XML-APPS-5630551-32795776&refer=lnkslot-APPS-5630551-32795776),"Beachwood, OH", **[Closed]**   [Eaton Development Program: Engineering Technology- Software](https://www.wayup.com/i-Manufacturing-j-Eaton-Development-Program-Engineering-Technology-Software-Eaton-557754123495770/?utm_source=linkedin-xml&utm_medium=jobxml&utm_campaign=linkedin-XML-APPS-5630551-32795776&refer=lnkslot-APPS-5630551-32795776),Sponsorship Not Available,8/22/2023
65,[PMG Worldwide](https://www.pmg.com/careers/graduate-opportunities),"Boston, MA", [Multiple New Grad Technology Roles](https://www.pmg.com/careers/job-openings?department=GLP#find-your-dream-job),Sponsorship not available,8/22/2023
66,[Oracle](https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/requisitions?keyword=new+grad&location=United+States&locationId=300000000149325&locationLevel=country&mode=location)," Redwood City, CA   Austin, TX", [Software Engineer - Applications Development](https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/211248)   [Software Engineer - NetSuite](https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/211259)   [Software Engineer - Corporate Architecture](https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/211253)   [Software Engineer - Database Technologies](https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/211157)   [Software Engineer - Analytics Cloud](https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/211163)   [Software Engineer - Global Business Unit](https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/211148),Sponsorship not available,8/21/2023
67,[Mastercard](https://careers.mastercard.com/us/en/student-fulltime-jobs)," O'Fallon, MO   Salt Lake City, UT   Atlanta, GA "," [Software Engineer, Launch Program 2024](https://careers.mastercard.com/us/en/job/R-201213/Software-Engineer-Launch-Program-2024-United-States) ",work authorization sponsorship not eligible,8/21/2023
68,[John Hancock](https://manulife.wd3.myworkdayjobs.com/en-US/MFCJH_Jobs/job/Boston-Massachusetts/Software-Engineering-New-Graduate-Program-2024_JR23070949-2?q=software%20new%20graduate),"Boston, MA", [Software Engineering New Graduate Program 2024](https://manulife.wd3.myworkdayjobs.com/en-US/MFCJH_Jobs/job/Boston-Massachusetts/Software-Engineering-New-Graduate-Program-2024_JR23070949-2?q=software%20new%20graduate),-,8/21/2023
69,[Appian](https://appian.com/),"McLean, VA", [Information Security Engineer](https://app.ripplematch.com/v2/public/job/a669f82a/details?utm_source=RM&utm_medium=organic_social&utm_campaign=growth_github&utm_content=role&utm_term=null),-,8/21/2023
70,[Polaris](https://www.polaris.com/en-us/),"Plymouth, MN", [Digital & Information Technology Leadership Development Program](https://polaris.wd5.myworkdayjobs.com/PolarisJobs/job/Plymouth-MN-USA/Digital---Information-Technology-Leadership-Development-Program_R19546),This position is not eligible for sponsorship,8/21/2023
71,[Figma](https://www.figma.com/)," San Francisco, CA   New York, NY"," [Software Engineer - Early Career (2024)](https://boards.greenhouse.io/figma/jobs/4941380004) <br/>  [Data Science, Early Career (2024)](https://app.ripplematch.com/v2/public/job/0b42900f/details?utm_source=Github&utm_medium=organic_social&utm_campaign=growth_github&utm_content=mt_repo&utm_term=null)",-,8/21/2023
72,[FedEx Dataworks](https://careers.fedex.com/dataworks)," Remote, US", **[Closed]**    [Software Engineer I - Backend](),Sponsorship not provided,8/21/2023
73,[Intel](https://www.intel.com/content/www/us/en/jobs/jobs-at-intel.html)," Phoenix, AZ   Albuquerque, NM   Hillsboro, OR   Austin, TX   Folsom, CA   Santa Clara, CA   Atlanta, GA", [College Graduate - Computer Science - (Bachelors)](https://jobs.intel.com/en/job/phoenix/college-graduate-computer-science-bachelors/41147/52814561408)   [College Graduate - Computer Engineering - (Bachelors)](https://jobs.intel.com/en/job/phoenix/college-graduate-computer-engineering-bachelors/41147/52814605072)   [College Graduate - Data Science (BS/MS)](https://intel.wd1.myworkdayjobs.com/en-us/external/job/US-Arizona-Phoenix/College-Graduate---Data-Science--BS-MS-_JR0247231?utm_source=Simplify),-,8/18/2023
74,[Vatic Investments](http://www.vaticinvestments.com/careers/)," New York, New York", [Software Engineer (Full Time)](http://www.vaticinvestments.com/careers/?gh_jid=53508)   [Quantative Researcher (Full Time)](http://www.vaticinvestments.com/careers/?gh_jid=53549)   [Algorithmic Trader (Full time)](http://www.vaticinvestments.com/careers/?gh_jid=72038),-,8/18/2023
75,[Stripe](https://stripe.com/jobs/)," San Francisco, CA   Chicago, IL   Seattle, WA"," [Software Engineering, New Grad](https://stripe.com/jobs/listing/software-engineering-new-grad/5305676)",-,8/18/2023
76,[Tencent](https://careers.tencent.com/en-us/campusrecruit.html),"Palo Alto, CA  Los Angeles, CA"," [Multiple New grad Technology Roles](https://careers.tencent.com/en-us/search.html?query=at_2,co_2,ot_40001001,ot_40001002,ot_40001003,ot_40001004,ot_40001005,ot_40001006&sc=2)",-,8/17/2023
77,[Applied Intuition](https://www.appliedintuition.com/careers#job-listings),"Mountain View, CA", [Product Application Engineer - New Grad](https://boards.greenhouse.io/appliedintuition/jobs/4045211005?gh_jid=4045211005)   [Software Engineer - New Grad](https://boards.greenhouse.io/appliedintuition/jobs/4296158005?gh_jid=4296158005),-,8/16/2023
78,[Wells Fargo](https://www.wellsfargojobs.com/en/)," Charlotte, NC   Minneapolis, MN   New York, NY   Phoenix, AZ   St. Louis, MO   San Francisco, CA", [2024 Technology Early Career Development Program (Software or Data Engineer)](https://www.wellsfargojobs.com/en/jobs/r-298781/2024-technology-early-career-development-program-software-or-data-engineer/),Work Authorization required; Visa sponsorship not available,8/16/2023
79,[Susquehanna International Group (SIG)](https://careers.sig.com/),"Philadelphia, PA", [Software Developer - Campus 2024 Start (expression of interest)](https://careers.sig.com/job/7286/Software-Developer-Campus-2024-Start-Expression-of-Interest)  [Systems Engineer - Campus](https://careers.sig.com/job/7403/Systems-Engineer-Campus) [Security Engineer - Campus](https://careers.sig.com/job/7259/Security-Engineer-Campus),Visa sponsorships are available,8/14/2023
80,[EAB](https://eab.com/)," Birmingham, AL   Washington, D.C.   Richmond, VA", [Entry Level Associate Data Engineer](https://recruit.hirebridge.com/v3/Jobs/JobDetails.aspx?cid=7856&jid=591764&locvalue=1034)   [Entry Level Associate Data Engineer](https://recruit.hirebridge.com/v3/Jobs/JobDetails.aspx?cid=7856&jid=591764&locvalue=1033)   [Entry Level Associate Data Engineer](https://recruit.hirebridge.com/v3/Jobs/JobDetails.aspx?cid=7856&jid=591764&locvalue=1032),-,8/13/2023
81,[Radix Trading](https://radixtrading.co/),"Chicago, IL", [Multiple New grad Quant and Engineering Roles](https://boards.greenhouse.io/radixuniversity),-,8/12/2023
82,[Carrier](https://www.carrier.com/),"Palm Beach Gardens, FL", [Digital Technology Leadership Program](https://jobs.carrier.com/job/palm-beach-gardens/digital-technology-leadership-program/29289/52360980624),U.S. Citizen or Permanent Resident Required,8/11/2023
83,[Instacart](https://instacart.careers/current-openings/)," Toronto, ON Canada"," **[Closed]**   [Full Stack Software Engineer, Instacart App Growth Activation & Resurrection (New Grad)](https://instacart.careers/job/?gh_jid=5293409)",-,8/11/2023
